time/total_timesteps,time/episodes,train/n_updates,time/fps,train/critic_loss,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
95258,9540,94756,47,186.72930908203125,0.0003,-73.00302124023438,3.37466659,0.20000000298023224,8.27,1,,
95358,9550,94856,59,110.54615783691406,0.0003,-70.59795379638672,1.5513032600000003,0.20000000298023224,8.27,2,,
95458,9560,94956,72,58.358848571777344,0.0003,-69.6199722290039,-0.22806143000000012,0.20000000298023224,8.27,3,,
95558,9570,95056,82,108.64533233642578,0.0003,-69.5173568725586,-2.02706303,0.20000000298023224,8.27,4,,
95658,9580,95156,48,60.5704345703125,0.0003,-68.85711669921875,-3.77425204,0.20000000298023224,8.27,9,,
95758,9590,95256,49,97.04814147949219,0.0003,-66.87327575683594,-5.5622927099999995,0.20000000298023224,8.27,11,,
95858,9600,95356,49,61.44121551513672,0.0003,-65.79873657226562,-7.28897589,0.20000000298023224,8.27,13,,
95958,9610,95456,53,35.80350112915039,0.0003,-64.58354187011719,-8.470745509999999,0.20000000298023224,8.86,14,,
96058,9620,95556,57,34.61445617675781,0.0003,-62.72168731689453,-9.513813579999999,0.20000000298023224,9.6,15,,
96154,9630,95652,43,23.786636352539062,0.0003,-61.693016052246094,-9.86880349,0.20000000298023224,9.94,22,,
96246,9640,95744,18,34.80120849609375,0.0003,-60.66236114501953,-9.67753914,0.20000000298023224,9.88,57,,
96340,9650,95838,18,36.0340461730957,0.0003,-59.493858337402344,-9.59407848,0.20000000298023224,9.82,61,,
96440,9660,95938,20,22.858840942382812,0.0003,-59.2260627746582,-9.59407848,0.20000000298023224,9.82,62,,
96540,9670,96038,21,43.30139923095703,0.0003,-57.69513702392578,-9.59407848,0.20000000298023224,9.82,63,,
96640,9680,96138,22,10.597267150878906,0.0003,-56.879432678222656,-9.6202649,0.20000000298023224,9.82,64,,
96740,9690,96238,23,12.464794158935547,0.0003,-55.93337631225586,-9.6202649,0.20000000298023224,9.82,64,,
96840,9700,96338,25,5.278456687927246,0.0003,-55.149208068847656,-9.6202649,0.20000000298023224,9.82,65,,
96940,9710,96438,26,9.583734512329102,0.0003,-54.043670654296875,-9.6202649,0.20000000298023224,9.82,66,,
97040,9720,96538,27,2.6965065002441406,0.0003,-53.54368591308594,-9.6202649,0.20000000298023224,9.82,68,,
97140,9730,96638,28,12.60784912109375,0.0003,-53.49898147583008,-9.69527499,0.20000000298023224,9.86,69,,
97188,,96686,,2.7438101768493652,0.0003,-52.06336212158203,,0.20000000298023224,,,5.6,-4.2867719
